1,1,1,Team Meeting,2023-06-15,13:00:00,15:00:00
2,2,2,Networking Event,2023-06-16,18:00:00,20:00:00
3,3,3,Workshop,2023-06-17,10:00:00,12:00:00
4,3,4,Team Building Workshop,2023-06-26,13:00:00,15:00:00
5,4,5,Networking Seminar,2023-06-27,18:00:00,20:00:00
6,5,6,Industry Panel Discussion,2023-06-28,10:00:00,12:00:00
7,6,7,Product Launch Event,2023-06-29,13:00:00,15:00:00
8,7,8,Business Workshop,2023-06-30,09:00:00,11:00:00
9,8,9,Marketing Conference,2023-07-01,14:00:00,17:00:00
10,9,10,Startup Pitch Competition,2023-07-02,10:00:00,12:00:00
11,16,11,Product Demo,2023-07-16,13:00:00,15:00:00
12,17,12,Entrepreneurship Workshop,2023-07-17,18:00:00,20:00:00
13,18,13,Marketing Seminar,2023-07-18,10:00:00,12:00:00
14,19,14,Business Networking Event,2023-07-19,13:00:00,15:00:00
15,20,15,Startup Pitch Competition,2023-07-20,09:00:00,11:00:00
16,11,16,Industry Panel Discussion,2023-07-21,14:00:00,17:00:00
17,12,17,Tech Conference,2023-07-22,10:00:00,12:00:00
18,13,18,Product Launch Event,2023-07-23,13:00:00,15:00:00
19,14,19,Marketing Workshop,2023-07-24,09:00:00,11:00:00
20,15,20,Business Networking Seminar,2023-07-25,14:00:00,17:00:00
